6619500	21067
145750	11578
12008000	24274,17647,25618,4960
8555500	25372
4853750	25596
9039750	1293,14580
4115500	6731,14470
12215000	8637,14942
11947000	28967,2322,24417,15233
5256500	614
6126750	25169,25117,15019
7927750	15065
6572500	29099
10443000	19466,14482,13460,10570,23628
1710500	28065,14780
9706000	29099,25933,13765,742,6364,23340,849,9612,6740,12168,20297,22094
3913250	13240,5845
11307500	20300
9351750	28930,17921,14580
4195500	9802,18097
1194750	25169,20551,679,4059,27052,12737,7827,24669,6543,7400,5306
5108000	4254,14020,23628
1617250	12283,5077,18002,19405
4054000	20121
8145500	18124,21883
12371000	23896,12737,17514,25086,25570,11776,8628,17767,2254,11543
1319000	10449,599,5797
1832000	10916,25687
3188000	18025,16463,26618
3249250	26394
6099250	13244
2050000	11022,26866,18996,15231,17960,21659,5306,5620
2316250	9688,18180,10948
10533750	24601,14261,17945,19974,13451
1971500	11000,22043,8316,7230
5170500	6096,17581
11111500	4216
6996000	13754
7016500	26546
3114000	21092,23928,20536
452750	14796,15638,24392
9716500	28065,6908
7367000	21336,17945,13607,11083,20297,143
7699500	9802,13592,23698,5848,1546,26127
1579250	4078,25424
12417500	28411,5478,16406,15138,8689,10570,16846,3983,24601
8156500	4078,6447,6951,19974
418500	15138
3245250	23878
8195000	8943,21672,11080
11632250	25022
8845250	17214,22484,23928,554,16722
3168000	3082
11493000	12453,1533,14661,22727
9079500	7208,24447,25272,15741,27314,7868,4691,11022
65500	21840,29202
10054250	19660,4667
4503500	11936
11142000	17407
5901250	14575,12606
10521000	18612,7868
1561250	21511,24307,22973,12352,17706
7568750	12285
2182750	18808
190500	20751
3977750	21869,13975
10401500	13258,12189,27791
3226500	22240
6247250	25618,15814
11552750	23448
10322250	1731,10702,18575
3148500	22126,7620,16217,12795,28561,4762
11169500	10014
5655250	11196,3702
3293750	26523
4475750	4949,19113,3719,20551,13592,259,20536,23774,2227
7190750	27791,9413,14526
7163250	20154,26595
12231250	27155,28149,24274
9842500	25086,19048,7380,10908
3009000	5627,12964,11000,17732,12327,21840,22393,8724,19014,28347,14695,15019,28411,7230
2331750	27179,8628,19539,7179
1727500	3228,4452
4907500	11196,6374,8775,8965,11060,5712
4680000	16463
4454500	26699,27117,15019
5952250	5094
239250	12647,28481
10696000	11022
3952000	4648,13998,21844,25917,2128,29099
